Periodo,Salario
1959.08,1127.20192504505
1959.09,1113.73970637202
1959.10,1089.22342352736
1959.11,1065.52904450534
1959.12,1043.06790310686
1960.01,1005.85411357473
1960.02,971.204222219866
1960.03,937.954097010405
1960.04,923.661463151198
1960.05,909.79787646225
1960.06,896.178651181628
1960.07,885.217722078093
1960.08,874.521673858213
1960.09,863.927076704755
1960.10,1350.52328815841
1960.11,1320.18994222734
1960.12,1291.18926451491
1961.01,1241.79838195744
1961.02,1196.23131212921
1961.03,1153.71840750484
1961.04,1128.05412772173
1961.05,1103.66376820342
1961.06,1080.15540727691
1961.07,1062.98894238527
1961.08,1046.21848576997
1961.09,1029.96897523829
1961.10,1384.43267992074
1961.11,1331.15916748261
1961.12,1281.83370387752
1962.01,1199.98440197284
1962.02,1127.96041606003
