Periodo,Pib
2004.01,144558.6
2004.02,142861.3
2004.03,157363.5
2004.04,156953.9
2004.05,159498.9
2004.06,165342.2
2004.07,171370.9
2004.08,169178.9
2004.09,164702.5
2004.10,170536.5
2004.11,176921.5
2004.12,178462.4
2005.01,163540.1
2005.02,160701.6
2005.03,175468.7
2005.04,177179
2005.05,177496.7
2005.06,180881.8
2005.07,184073.7
2005.08,187246.6
2005.09,181538.9
2005.10,189183
2005.11,194794.5
2005.12,198480
2006.01,185564.8
2006.02,178482.2
2006.03,190223.3
2006.04,185030.6
2006.05,197874.3
2006.06,199071.9
2006.07,206974.4
2006.08,209818
2006.09,201055.4
2006.10,214271.7
2006.11,219724.2
2006.12,221359.3
2007.01,211130.7
2007.02,202704.1
2007.03,217588.9
2007.04,215128.8
2007.05,226537.9
2007.06,228988.6
2007.07,233824.1
2007.08,235019.1
2007.09,223002.7
2007.10,241939.4
2007.11,241938.4
2007.12,242460.2
2008.01,237247.7
2008.02,232680.4
2008.03,242124.4
2008.04,248793.8
2008.05,254936.9
2008.06,265791.2
2008.07,278095.6
2008.08,269235.6
2008.09,265271.2
2008.10,280522.5
2008.11,270698.8
2008.12,264404.8
2009.01,249934.4
2009.02,244024.5
2009.03,262181.7
2009.04,259563.5
2009.05,268324
2009.06,275701.2
2009.07,285444.2
2009.08,284240.4
2009.09,283157.9
2009.10,301895.9
2009.11,305048.8
2009.12,313522.8
2010.01,288972.8
2010.02,285723.2
2010.03,311651.6
2010.04,307083.5
2010.05,315988.4
2010.06,321023.2
2010.07,332454.2
2010.08,334225.6
2010.09,331255.9
2010.10,344963.8
2010.11,356707.5
2010.12,355797.4
2011.01,333255.6
2011.02,334982
2011.03,347879.6
2011.04,349049.3
2011.05,366256.2
2011.06,370951.2
2011.07,373143.3
2011.08,376769.3
2011.09,361724.6
2011.10,378491
2011.11,389560.8
2011.12,391595.1
2012.01,367215.4
2012.02,367177.3
2012.03,392996.5
2012.04,381795.3
2012.05,400281.3
2012.06,398714.5
2012.07,414617.4
2012.08,419906.3
2012.09,393524.7
2012.10,422672.1
2012.11,423816.4
2012.12,423195.9
2013.01,414131.8
2013.02,398645.4
2013.03,427409.8
2013.04,438856.8
2013.05,439054.2
2013.06,442857
2013.07,458458.9
2013.08,452862.2
2013.09,438766.7
2013.10,466166
2013.11,465693.8
2013.12,473552.5
2014.01,455935
2014.02,450358.8
2014.03,462159.8
2014.04,468767.5
2014.05,473347.1
2014.06,458516.5
2014.07,481994
2014.08,477052.9
2014.09,476520.6
2014.10,493304.7
2014.11,489484.4
2014.12,499867.7
2015.01,472913.9
2015.02,460156.7
2015.03,501752.2
2015.04,486614.6
2015.05,483239.7
2015.06,486647.5
2015.07,502275.2
2015.08,492505.7
2015.09,496004.7
2015.10,518828.9
2015.11,513819.8
2015.12,521918.7
2016.01,490284
2016.02,491011.7
2016.03,516985.9
2016.04,508058.7
2016.05,513267.5
2016.06,536459.3
2016.07,532947.8
2016.08,534724.3
2016.09,512532.3
2016.10,526704.6
2016.11,540788.5
2016.12,563100.8
2017.01,526983.2
2017.02,517226.2
2017.03,550253
2017.04,529298.8
2017.05,551987.9
2017.06,558024
2017.07,546682.8
2017.08,547221.6
2017.09,525441.4
